station,lat,lon,year,tmax,tmin,airfrost,rain,sun
Whitby,54.481,-0.624,1964,18.5,0.3,3.08333333333333,29.5166666666667,NaN
Whitby,54.481,-0.624,1965,17.2,1.1,3.33333333333333,47.825,NaN
Whitby,54.481,-0.624,1966,17,1.1,2.33333333333333,55.525,NaN
Whitby,54.481,-0.624,1967,19.3,1.4,2,48.0416666666667,NaN
Whitby,54.481,-0.624,1968,16.7,-0.7,5.1,43.1,NaN
Whitby,54.481,-0.624,1969,19.6,-0.8,3.83333333333333,48.4636363636364,NaN
Whitby,54.481,-0.624,1970,18,-0.2,3.41666666666667,39.4272727272727,NaN
Whitby,54.481,-0.624,1971,18.4,1.9,2.5,36.175,NaN
Whitby,54.481,-0.624,1972,17.2,1.4,2.22222222222222,36.1222222222222,NaN
Whitby,54.481,-0.624,1973,17.5,0.9,2,43.36,NaN
Whitby,54.481,-0.624,1974,18.4,2.1,1.16666666666667,40.8545454545455,NaN
Whitby,54.481,-0.624,1975,20.5,1.4,1.33333333333333,39.8083333333333,NaN
Whitby,54.481,-0.624,1976,20.2,0.4,3,47.425,128.691666666667
Whitby,54.481,-0.624,1977,17.1,0.4,2,46.1333333333333,117.558333333333
Whitby,54.481,-0.624,1978,16.5,-0.7,4.08333333333333,56.0916666666667,111.358333333333
Whitby,54.481,-0.624,1979,18.4,-2.2,4.5,55.0666666666667,120.783333333333
Whitby,54.481,-0.624,1980,18,0.5,2.75,52.6833333333333,114.666666666667
Whitby,54.481,-0.624,1981,18.5,-1.9,4.09090909090909,53.4636363636364,124.691666666667
Whitby,54.481,-0.624,1982,18,-0.4,3.33333333333333,47.2,134.818181818182
Whitby,54.481,-0.624,1983,19.4,-0.5,2.75,45.5083333333333,116.95
Whitby,54.481,-0.624,1984,18.5,1,2.33333333333333,54.6272727272727,128.058333333333
Whitby,54.481,-0.624,1985,18.2,-0.5,4.72727272727273,49.5166666666667,119.5
Whitby,54.481,-0.624,1986,18.8,-1.8,3.75,51.3083333333333,138.016666666667
Whitby,54.481,-0.624,1987,17.4,-0.7,3.91666666666667,52.3166666666667,110.966666666667
Whitby,54.481,-0.624,1988,18,2.2,1.41666666666667,47.9333333333333,128.741666666667
Whitby,54.481,-0.624,1989,19.7,1.6,2.08333333333333,32.4666666666667,149.05
